type,collection,docId,subject,topic,question,currentCorrect,currentCorrectText,suggestedCorrect,suggestedCorrectText,confidenceOrMethod,evidence,approved
semantic,questions,AGR-2021-012,Agricultural Science,Horticultural Practices,Pruning is applicable to the following horticultural crop plants EXCEPT,A,Theobroma cacao,D,Abelmoschus esculentus,50%,"Abelmoschus esculentus (okra) is an annual herbaceous vegetable crop that does not require pruning, unlike the perennial tree crops listed (cacao, oil palm, and",yes
semantic,questions,AGR-2021-019,Agricultural Science,Genetics and Breeding in Farm Animals,"When an animal with red colour (RR) is crossed with an animal with white colour (rr), the colour of ",C,red and white,B,red,50%,"According to Mendel's law of dominance, the dominant allele (R) masks the recessive allele (r) in the F1 generation, resulting in all offspring having the red p",yes
semantic,questions,AGR-2021-043,Agricultural Science,Agricultural Economics,If 30 men were employed on a farm and they produced an average of 15 tonnes of cassava per person in,A,400 tonnes,B,450 tonnes,50%,Total output = Number of men × Average output per person = 30 × 15 = 450 tonnes.,yes
semantic,questions,AGR-2025-037,Agricultural Science,Soil Fertility and Plant Nutrition,Liming material known as calcium oxide (CaO) is also called,A,quick lime,C,limestone,50%,"Calcium oxide (CaO) is chemically known as quicklime or burnt lime, whereas slaked lime is calcium hydroxide, limestone is calcium carbonate, and dolomite is ca",
semantic,questions,AGR-2025-046,Agricultural Science,Agricultural Extension,The following are group methods of agricultural extension EXCEPT,B,home of a farmer,A,lectures,50%,"Home visits are classified as individual extension methods, whereas lectures, debates, and excursions are group methods.",
semantic,questions,BIO-2019-039,Biology,Classification of Living Things,Which is NOT a member of Phylum Chordata?,B,Star fish,A,Lung fish,50%,"Starfish belongs to the Phylum Echinodermata, while lung fish, frogs, and parrots are chordates.",
semantic,questions,BIO-2019-040,Biology,Biology - Classification of Protozoa,Unicellular animals with organelles for locomotion — Mastigophora and ____,C,Mastigophora and Flagellata,A,Sarcodina and Ciliophora,50%,"The question refers to the classification of Protozoa based on locomotion. Mastigophora use flagella, Sarcodina use pseudopodia, and Ciliophora use cilia. Optio",
semantic,questions,BIO-2021-035,Biology,Animal Reproduction and Development,Which of the following statement(s) is/are true of an adult butterfly? I. It is a specialist reprodu,A,I and III only,D,"I, II and III",50%,"The adult stage of a butterfly is primarily for reproduction (I), requires energy from nectar for flight and mating (II), and facilitates the movement of the sp",yes
semantic,questions,BIO-2024-028,Biology,Chordata,Which of the following is a unique characteristic of chordates?,B,Possession of a notochord,A,Presence of triploblastic layers,50%,The presence of a notochord at some stage in the life cycle is the defining (unique) characteristic of the phylum Chordata. Triploblastic layers are found in ma,
semantic,questions,BIO-2024-031,Biology,Uncategorized,"Spiders are carnivorous arthropods with simple eyes, their gaseous exchange is enhanced by?",C,booklung.,A,body surface.,50%,Spiders (Arachnida) use book lungs — leaf-like lamellae providing large surface area for gas exchange.,
semantic,questions,BIO-2025-023,Biology,Microbiology,Glassware and other heat stable items may be sterilized in a hot air oven at:,B,160°C for 2 hrs,D,160°C for 1 hr,50%,The standard sterilization protocol for a hot air oven is 160°C for 2 hours.,
semantic,questions,BUS-2019-007,Business Studies,Business Organizations,Owners of unincorporated businesses have,C,unlimited liability,D,legal personality,50%,"Unincorporated businesses, such as sole proprietorships and partnerships, do not have a separate legal identity from their owners, meaning the owners are person",
semantic,questions,BUS-2020-031,Business Studies,Leadership Styles,A person who is dynamic enough to modify his style as the situation demands is called,A,an effective leader,D,a situational leader,50%,A situational leader is one who adapts their leadership style to match the specific needs and demands of the situation and the maturity level of the followers.,yes
semantic,questions,BUS-2020-032,Business Studies,Management Functions and Levels,Middle-level managers require which of the following skills?,B,Conceptual skills,D,Human relations skills,50%,Middle-level managers primarily require human relations (interpersonal) skills to coordinate the activities of lower-level managers and bridge the gap between t,yes
semantic,questions,BUS-2021-013,Business Studies,Financial Statement Analysis,The four principal types of financial ratios are,C,"Activity, leverage, earning and debt.",D,"Liquidity, leverage, activity, profitability.",50%,"The four main categories of financial ratios used to analyze a company's performance are liquidity ratios, leverage (solvency) ratios, activity (efficiency) rat",yes
semantic,questions,BUS-2022-004,Business Studies,Business Studies,Which of the following is NOT a guideline required in workplace design?,C,"Provide proper illumination, heating and ventilation.",D,Avoid attending to human factor.,50%,"Workplace design principles emphasize the importance of human factors (ergonomics) to improve efficiency and safety; therefore, ignoring them is not a valid gui",yes
semantic,questions,BUS-2022-007,Business Studies,Introduction to Business,Which of the following is NOT a purpose for undertaking a business activity?,B,To maximize profit.,D,To provide financial account to the public.,50%,"While businesses may be required to disclose financial information to stakeholders or regulators, the primary purpose of undertaking a business activity is to c",yes
semantic,questions,BUS-2022-022,Business Studies,Accounting/Business Studies,The debts which are to be paid within a short period of time in an organization are known as,C,Current liability,D,Obligation liabilities,50%,Current liabilities are financial obligations that a company is expected to pay off within one year or within its normal operating cycle.,
semantic,questions,BUS-2022-023,Business Studies,Accounting for Purchases,Which of the following will be debited if a business buys goods on credit?,A,Cash account,C,Purchases account,50%,"When goods are bought on credit, the Purchases account is debited to record the increase in expenses, and the Creditor's account is credited.",yes
semantic,questions,BUS-2025-038,Business Studies,Management and Leadership,Which of these powers is most likely to lead to a promotion in the workplace?,C,Reward power,B,Expert power,50%,"Expert power is derived from an individual's specialized knowledge and skills, which are highly valued by organizations and typically lead to career advancement",yes
semantic,questions,CHM-2019-001,Chemistry,Analytical Chemistry,Precision in measurement is ____,A,Agreement between replicate measurements,B,Closeness of measurement to the true value,50%,"Precision refers to the closeness of two or more measurements to each other, while accuracy refers to the closeness of a measured value to a standard or known v",
semantic,questions,CHM-2019-038,Chemistry,Atomic Structure and Periodic Properties,The energy associated with the process below is called Li(g) → Li+(g) + e-,C,lattice energy,B,ionization energy,50%,"The process represents the removal of an electron from a gaseous atom to form a positive ion, which is the definition of ionization energy.",yes
semantic,questions,CHM-2019-046,Chemistry,Thermodynamics,A system in which only energy is transferred between the system and the surroundings is a/an:,D,adiabatic system,B,closed system,50%,A closed system allows the exchange of energy (heat and work) with the surroundings but does not allow the exchange of matter.,yes
semantic,questions,CHM-2019-056,Chemistry,Electrolysis,"In the electrolysis of brine (concentrated NaCl) using mercury as the cathode, the components produc",B,"Na, O2 and neutral",D,"Na, Cl2 and basic",50%,"In the mercury cell process, sodium ions are reduced to sodium metal at the mercury cathode to form sodium amalgam (Na/Hg). Chloride ions are oxidized to chlori",yes
semantic,questions,CHM-2019-057,Chemistry,Energetics/Thermochemistry,Given that the standard enthalpy of formation of TiO2(s) and CO(g) are -940 kJ/mol and -110 kJ/mol r,A,-830 kJ/mol,B,-720 kJ/mol,50%,ΔH = ΣΔHf(products) - ΣΔHf(reactants) = [2(-110) + 0] - [-940 + 0] = -220 + 940 = +720 kJ/mol.,
semantic,questions,CHM-2019-058,Chemistry,Carbohydrates,The reaction C12H22O11 + H2O → 2C6H12O6 represents,D,dehydration of starch,A,polymerization of glucose,50%,"The reaction shows the breakdown of a disaccharide (sucrose/maltose) into two monosaccharide units (glucose) by the addition of water, which is the definition o",
semantic,questions,CHM-2019-066,Chemistry,Organic Chemistry,"Given below are sets of homologous series, identify the set that contains a carbonyl group.",B,"alcohols, carboxylic acids, ethers",D,"carboxylic acids, aldehydes, ketones",50%,"A carbonyl group consists of a carbon atom double-bonded to an oxygen atom (C=O). Aldehydes, ketones, and carboxylic acids all contain this functional group.",yes
semantic,questions,CHM-2020-055,Chemistry,Organic Chemistry,"The following compounds C₆H₁₃NH₂, C₃H₇NH₂, CH₃CH₂NH₂, and CH₃NHCH₃ are all related as",B,homologues,A,chain isomers,50%,"These compounds differ by CH₂ units in their carbon chains, which is the definition of a homologous series.",
semantic,questions,CHM-2021-012,Chemistry,Chemical Kinetics,A decomposition reaction has a half-life that does not depend on the initial concentration of the re,A,zero order,B,first order,50%,"For a first-order reaction, the half-life is independent of the initial concentration (t½ = ln 2 / k).",yes
semantic,questions,CHM-2022-039,Chemistry,Organic Chemistry: Alcohols,"The organic compound, Quinine, is a secondary metabolite isolated from a medicinal plant, which poss",B,Tertiary alcohol.,C,Secondary alcohol.,50%,"The hydroxyl group in quinine is attached to a carbon atom that is bonded to two other carbon atoms, making it a secondary alcohol.",yes
semantic,questions,CHM-2022-041,Chemistry,Organic Chemistry,What kind of polymerization can occur with eugenol?,A,Condensation polymerization,D,Addition polymerization,50%,"Eugenol contains an allyl group (alkene), which undergoes addition polymerization.",yes
semantic,questions,CHM-2025-020,Chemistry,Hydrogen,The process of preparing hydrogen from red-hot coke and steam is generally called,A,Lane’s process,D,Bosch’s process,50%,The Bosch process involves the reaction of steam with red-hot coke to produce water gas (H2 and CO).,yes
semantic,questions,CRS-2019-007,CRS,Nature of the Bible,Plenary inspiration of the Bible means that all the,D,words in the Bible are verbally dictated.,C,parts of the Bible are altogether authoritative.,50%,Plenary inspiration signifies that the entire Bible is inspired by God and is fully authoritative in all its parts.,yes
semantic,questions,CRS-2019-008,CRS,Old Testament Canonization,Which of these is not a criterion for the canonization of the Old Testament?,C,Language of the book,A,Prophetic authorship,50%,"The volume of a book was never a criterion for canonization; criteria included prophetic authorship, consistency with the Torah, and divine inspiration.",
semantic,questions,CRS-2019-014,CRS,Synoptic Gospels,The delay in the writing of the Gospels was a result of these factors EXCEPT for the,A,Parousia consciousness,C,quarrel between Peter and Paul,50%,"The early church expected the imminent return of Christ (Parousia), which delayed the need for written records; the quarrel between Peter and Paul did not cause",yes
semantic,questions,CRS-2019-016,CRS,New Testament Canon,The earliest list of the New Testament collections is called,A,Athanasian Canon,B,Muratorian Canon,50%,The Muratorian Canon (or Muratorian Fragment) is the oldest known list of New Testament books.,yes
semantic,questions,CRS-2019-021,CRS,Christianity in West Africa,African clergy revolted against foreign missionaries on the issue of,C,local administration.,B,church administration.,50%,"The revolt of African clergy, such as Bishop Samuel Ajayi Crowther, was primarily driven by the desire for autonomy in church administration and leadership.",yes
semantic,questions,CRS-2019-025,CRS,Christianity in West Africa,Freetown in Sierra Leone was originally known as,A,Smeathen Town.,C,Granville Town.,50%,"Freetown was established on the site of Granville Town, which was founded in 1787 for freed slaves.",yes
semantic,questions,CRS-2020-022,CRS,Biblical Criticism,A type of Biblical criticism which breaks down the Gospels into units is called,C,Redaction criticism,A,Form criticism,50%,Form criticism is the method of biblical criticism that classifies units of scripture by literary pattern and attempts to trace each type to its period of oral ,yes
semantic,questions,CRS-2021-020,CRS,Christian Religious Studies,The rapid multiplication of churches in Nigeria is also called,B,proliferation of churches.,A,proliferation of denominations.,50%,The term commonly used in theological and sociological studies for this phenomenon is the proliferation of denominations.,
semantic,questions,CRS-2021-036,CRS,Christian Religious Studies,It is assumed that Mark was the first gospel written for the following reasons EXCEPT,B,The verbal agreement and order of events,A,The brevity of Mark,50%,"The Markan priority hypothesis is based on the brevity of Mark, the verbal agreement with Matthew and Luke, and the primitive nature of his Greek, not on his da",
semantic,questions,CRS-2022-009,CRS,Christian Religious Studies,The main concern of John’s gospel is that Jesus,A,is the King of the Jews.,C,Christ is related to John the Baptist.,50%,"The Gospel of John emphasizes the divinity of Jesus Christ, presenting Him as the Word made flesh.",
semantic,questions,CRS-2022-012,CRS,Christian Religious Studies,James Ferguson who requested for missionaries while in Badagry was a member of the,B,Anglican Church.,A,Methodist Church.,50%,James Ferguson was a prominent member of the Methodist Church who played a key role in inviting missionaries to Badagry.,yes
semantic,questions,CRS-2022-025,CRS,Christian Religious Studies,"Society, through religion, provides for man’s physical, intellectual, moral and",B,basic needs.,D,spiritual needs.,50%,Religion primarily addresses the spiritual dimension of human existence alongside physical and moral needs.,yes
semantic,questions,CRS-2022-028,CRS,Christian Religious Studies,The followers of John Wesley became known as Methodists because,D,of the revelation they received from the Holy Spirit.,A,of their methodical approach to religious devotion.,50%,The term 'Methodist' was originally a nickname for the group due to their methodical and disciplined approach to spiritual life.,yes
semantic,questions,CRS-2024-018,CRS,African Instituted Churches,Which of the following is NOT an example of African Instituted Churches (AICs)?,D,The Apostolic Gospel,A,The Apostolic Church,50%,"The Apostolic Church is a classical Pentecostal denomination of British origin, whereas the others are typically categorized as African Instituted Churches.",yes
semantic,questions,CRS-2025-010,CRS,Christian Religious Studies,Who read the Bible in public spaces in the Bonny area?,B,Annie Pepple,A,Manilla Pepple,50%,King William Dappa Pepple (Manilla Pepple) of Bonny was known for his interest in Christianity and reading the Bible.,
semantic,questions,CRS-2025-012,CRS,Christian Religious Studies,Which of the following is NOT an effect of the exile?,B,Sickness of the people,A,Loss of their land,50%,"While the exile involved loss of land, destruction of the temple, and destruction of walls, widespread sickness was not a primary theological or historical effe",
semantic,questions,CRS-2025-031,CRS,Religious Ethics,Religious personality can promote human values by,B,assigning tasks,D,rewarding behaviour,50%,Positive reinforcement and rewarding behavior are standard methods for promoting moral and human values within a religious framework.,yes
semantic,questions,CRS-2025-043,CRS,Christianity in Nigeria,The greatest obstacle that affected Christian activity in Warri in the 15th century was,A,Islamic religion,C,Traditional religion,50%,Traditional religion was the deeply rooted belief system that posed the primary challenge to the introduction of Christianity in the 15th century.,yes
semantic,questions,CRS-2025-044,CRS,African Independent Churches,The African Independent Churches (AICs) evolved as a result of protest against the oppression of Afr,B,17th century,D,20th century,50%,The rise of African Independent Churches (AICs) as a protest movement against missionary hegemony peaked significantly in the early 20th century.,yes
semantic,questions,CRS-2025-049,CRS,Inter-Testamental Period,The Maccabean Revolt was a Jewish uprising against,C,Assyrian Empire,A,Seleucid Empire,50%,The Maccabean Revolt was a conflict between a Judean rebel group known as the Maccabees and the Seleucid Empire.,yes
semantic,questions,ECN-2021-039,Economics,Theory of Production,The table above exemplifies the law of diminishing,B,marginal utility.,D,returns.,50%,The law of diminishing returns describes the decrease in the marginal output of a production process as the amount of a single factor of production is increment,yes
semantic,questions,ECO-2019-021,Economics,International Trade,The quickest way to achieve economic union on a regional basis is to remove all ____,A,Currency barriers,C,Customs barriers,50%,Removing customs barriers (tariffs and quotas) is the foundational step in forming a customs union or economic union.,yes
semantic,questions,ECO-2019-023,Economics,Macroeconomics,What is the result of a fall in the profit margin of producers in an economy?,A,Unemployment will increase,B,Unemployment will fall,50%,"A fall in profit margins discourages production and investment, leading to reduced demand for labour and higher unemployment.",
semantic,questions,ECO-2020-061,Economics,Inflation,"If the government increases salaries, leading to a rise in the general price level, what is the most",B,Wage control,A,Increase production,50%,Increasing production (aggregate supply) helps counter cost-push inflation caused by rising wages.,yes
semantic,questions,ECO-2022-034,Economics,Public Goods,Which of the following is a characteristic of public goods?,D,They can be produced only if large spillover costs are incurred.,A,They are non-excludable.,50%,Public goods are characterized by non-excludability and non-rivalry (indivisibility). Option A was corrected to reflect the actual definition.,yes
semantic,questions,GEO-2019-018,Geography,Settlement Geography,Which type of ecumene contributes to rural-urban migration?,B,Census ecumene,D,Industrial ecumene,50%,"Industrial ecumene refers to areas of industrial development, which act as pull factors for rural-urban migration.",yes
semantic,questions,GEO-2019-023,Geography,Population Geography,The number of people that can be supported by available resources in an area so as to achieve the hi,D,minimum population.,B,optimum population.,50%,"Optimum population is defined as the number of people that, when combined with available resources, yields the highest standard of living.",yes
semantic,questions,GEO-2019-026,Geography,Map Reading,The method of graphical representation of scale on maps is called,A,Statement Scale,B,Linear Scale,50%,A linear scale (or graphic scale) is a line divided into units representing the actual distance on the ground.,yes
semantic,questions,GEO-2019-034,Geography,Map Interpretation,Towns A and B are intervened by a slope making them not intervisible. What type of slope can that be,A,Straight slope,B,Convex slope,50%,"A convex slope bulges outward, obstructing the line of sight between two points on opposite sides.",yes
semantic,questions,GEO-2019-041,Geography,Geography of Regions,A formal region is a_,B,functional region.,C,administrative region.,50%,A formal region is defined by administrative boundaries or uniform physical/cultural characteristics.,yes
semantic,questions,GEO-2020-015,Geography,Geographical Thought,"Environmental determinism is known as climatic determinism, while possibilism is known as",B,cultural ecology.,A,cultural determinism.,50%,"Possibilism is often contrasted with environmental determinism and is frequently associated with the concept of cultural determinism, where human culture is the",
semantic,questions,GEO-2020-017,Geography,Settlement Geography,Ubiquitous availability of water results in,B,nucleated settlements.,A,dispersed settlements.,50%,"When water is available everywhere (ubiquitous), people do not need to cluster around a single source, leading to dispersed settlement patterns.",yes
semantic,questions,GEO-2020-025,Geography,Population Geography,The relationship between the economically active population and the non-working population is,B,economic ratio.,D,dependency ratio.,50%,The dependency ratio measures the ratio of people who are not in the labor force to those who are.,yes
semantic,questions,GEO-2020-029,Geography,Map Reading,Which of the following is a type of map scale?,B,Linear scale,A,Ratio scale,50%,Ratio scale (Representative Fraction) is a standard method of expressing map scale.,
semantic,questions,GEO-2024-029,Geography,Map Reading and Interpretation,The latitude of a place is measured as a distance from the,D,equator as an angle.,B,equator in km².,50%,Latitude is defined as the angular distance of a point north or south of the equator.,
semantic,questions,GOV-2019-010,Government,Power and Authority,The type of influence where 'A' is able to anticipate the behaviour of 'B' is called,A,Indirect influence,D,Implicit influence,50%,Implicit influence occurs when one party acts in a certain way because they anticipate the reaction or desires of another party without explicit instruction.,
semantic,questions,GOV-2019-026,Government,Uncategorized,One negative effect of colonialism in Africa was that it,B,Was authoritarian and dictatorial,A,Introduced Christianity,50%,"AUTHORITARIANISM and DICTATORSHIP are clear NEGATIVE effects of colonialism — colonial rule was imposed without African consent, with no democratic representati",
semantic,questions,GOV-2019-031,Government,Nigerian Government and Politics,The three political parties registered by INEC to contest the 1999 elections were,C,"PDP, ANPP, AD",D,"PDP, CAN, AD",50%,"The three parties registered for the 1999 transition elections were the People's Democratic Party (PDP), All People's Party (APP), and Alliance for Democracy (A",
semantic,questions,GOV-2019-115,Government,Nigerian Government and Politics,Three political parties registered by INEC for the 1999 elections were,C,"PDP, ANPP, AD",D,"PDP, CAN, AD",50%,"The three parties registered for the 1999 general elections were the People's Democratic Party (PDP), All People's Party (APP), and Alliance for Democracy (AD).",
semantic,questions,GOV-2021-002,Government,Political History,The political party formed in 1923 by Herbert Macaulay was,C,Nigerian Council of Nigerian Citizens,B,Nigerian National Democratic Party,50%,"Herbert Macaulay founded the Nigerian National Democratic Party (NNDP) in 1923, which was the first political party in Nigeria.",yes
semantic,questions,GOV-2021-006,Government,Legislature,The process of law-making by the legislature begins with,A,initiating a bill,D,the first reading,50%,The formal legislative process begins with the first reading of a bill.,yes
semantic,questions,GOV-2021-010,Government,Nigerian Constitution,The principle of federal character was first enunciated in the,B,1963 Constitution,D,1979 Constitution,50%,The principle of federal character was introduced and enshrined in the 1979 Constitution of Nigeria.,yes
semantic,questions,GOV-2021-013,Government,Systems of Government,"In the British parliamentary system of government, the monarch can be referred to as",B,Queen-in-Assembly.,A,Queen-in-Parliament.,50%,The term 'Queen-in-Parliament' refers to the monarch acting in conjunction with the House of Lords and the House of Commons.,yes
semantic,questions,GOV-2021-026,Government,Local Government Administration,Laws made by local governments are called,C,Buy-laws,B,By-laws,50%,By-laws is the correct spelling for regulations made by a local authority.,yes
semantic,questions,GOV-2021-029,Government,Constitutional Development,The first Premier of the Western region was,C,Olufemi Awolowo,B,Obafemi Awolowo,50%,Chief Obafemi Awolowo served as the first Premier of the Western Region from 1954 to 1959.,yes
semantic,questions,GOV-2021-033,Government,Systems of Government,Centralization of power is the basic feature of a,A,confederal government.,B,unitary government.,50%,A unitary government is a system where power is concentrated in the central or national government.,yes
semantic,questions,GOV-2021-042,Government,International Relations,A plan of action adopted by one state in regards to its diplomatic dealings with other countries is ,B,foreign business,A,foreign policy,50%,Foreign policy is the set of strategies and goals a state uses to interact with other nations.,yes
semantic,questions,GOV-2022-014,Government,Constitutional Development,Indirect election was first introduced in Nigeria by the,B,Macpherson Constitution.,D,Clifford Constitution.,50%,The Clifford Constitution of 1922 introduced the elective principle for the first time in Nigeria.,yes
semantic,questions,GOV-2024-023,Government,Colonial Administration,A major feature of the Indigénat Policy in the French colonies in Africa was,B,subjugation of Africans to harsh treatments.,A,assimilation of Africans to the French culture.,50%,"The Indigénat was a legal code that subjected indigenous people in French colonies to forced labor and arbitrary punishments, distinct from the Assimilation pol",
semantic,questions,GOV-2024-029,Government,Approaches to the Study of Government,The normative approach to the study of politics emphasizes the use of,A,rules and standards,D,precepts and history,50%,"The normative approach focuses on values, ethics, and what 'ought to be', often relying on historical analysis and philosophical precepts.",yes
semantic,questions,LIT-2022-022,Literature in English,Literary Devices,An aside is a statement meant only for,D,minor characters.,A,the audience.,50%,"An aside is a dramatic device where a character speaks to the audience or themselves, unheard by other characters on stage.",yes
semantic,questions,LIT-2022-026,Literature in English,Prosody,Tetrametre means,A,three feet.,B,four feet.,50%,Tetrameter is a line of verse consisting of four metrical feet.,yes
semantic,questions,LIT-2022-037,Literature in English,Literature in English - Shakespearean Drama,"In the context of Shakespeare's works, what does the phrase ""To prey at fortune"" mean?",D,To cooperate with her.,C,To be at the mercy of fortune.,50%,The phrase implies being subject to the whims or dictates of fortune.,yes
semantic,questions,MAT-2020-021,Mathematics,Vector Algebra,A vector F is said to be irrotational if,D,curl(div F) = 0,A,curl F = 0,50%,A vector field is irrotational if its curl is equal to the zero vector.,yes
semantic,questions,MAT-2020-031,Mathematics,Statistics,Data representation in which the bars are joined together is called,C,Bar chart,A,Histogram,50%,A histogram is a graphical representation where bars are joined together to show frequency distribution.,yes
semantic,questions,MAT-2022-012,Mathematics,Statistics,One of the following measures of location is not affected by extreme values.,C,Geometric mean,D,Median,50%,"The median is a positional average and is resistant to outliers, unlike the various means.",yes
semantic,questions,PHY-2019-007,Physics,Simple Harmonic Motion,"The period of a simple pendulum depends on which of the following factors? (I: mass, II: amplitude, ",B,III only,A,II only,50%,"The period of a simple pendulum is T = 2π√(L/g), which depends only on the length (L) and acceleration due to gravity (g).",
semantic,questions,PHY-2022-004,Physics,Electronics,The main source of energy used for satellites is,B,Fuel cells,C,Solar cells,50%,Solar cells are the primary source of power for most satellites in orbit.,yes
semantic,questions,PHY-2024-028,Physics,Nuclear Physics,Which of the following is used in a nuclear reactor to slow down fast-moving neutrons?,D,Carbon dioxide gas,A,Graphite rods,50%,Graphite acts as a moderator to slow down neutrons to thermal speeds.,yes
semantic,questions,BIO-2019-022,Biology,Cell Biology,Which statement about thylakoids in eukaryotes is TRUE?,B,The space surrounding thylakoids is called the matrix,A,Thylakoids exist as a system of interconnected flattened sacs,47%,"Thylakoids are membrane-bound compartments inside chloroplasts that form a system of flattened, sac-like structures where the light-dependent reactions of photo",yes
semantic,questions,GEO-2019-015,Geography,Human Geography,Innovation diffusion refers to the stage in which,A,technology spreads to general use and application,B,technology changes over time,47%,Innovation diffusion is the process by which an idea or technology is communicated through certain channels over time among members of a social system.,
semantic,questions,AGR-2020-003,Agricultural Science,Soil Science,Which of the following is a characteristic of clay particles?,D,<0.002 mm in diameter and consisting of organic matter.,B,<0.002 mm in diameter and consisting of primary and secondary minerals.,43%,Clay particles are defined as having a diameter of less than 0.002 mm and are composed primarily of secondary silicate minerals formed through the weathering of,yes
semantic,questions,AGR-2021-001,Agricultural Science,Soil Science,The variation in the amount of air present in the soil depends on the following factors EXCEPT,A,Amount of water in the soil.,D,Amount of living organisms in the soil.,42%,"Soil aeration is primarily determined by soil texture, structure (pore spaces), and moisture content. While living organisms consume oxygen, the physical volume",
semantic,questions,ECO-2022-033,Economics,Market Structures,"In a capitalist economy characterized by competition, if one firm introduces a new and better method",B,obtain economic profits.,A,avoid less than normal profits.,42%,Firms must adopt efficient techniques to maintain competitiveness and avoid falling below the normal profit threshold required to stay in business.,
semantic,questions,GOV-2021-040,Government,Government,Major ways of maintaining confidence in the electoral process are the following EXCEPT,C,electoral officers are regularly trained.,B,limited franchise is observed.,42%,"Limited franchise restricts voting rights, which undermines democratic confidence; universal suffrage is preferred for maintaining trust in electoral processes.",yes
semantic,questions,LIT-2020-029,Literature in English,Poetic Forms,A sonnet may be described as traditional poetry because it,A,conforms to a fixed verse structure.,B,has no rhyme scheme and rhythm.,42%,A sonnet is a traditional poetic form defined by its strict 14-line structure and specific rhyme scheme.,
semantic,questions,PHY-2021-010,Physics,Newton's Laws of Motion,The rate of change of momentum is directly proportional to the applied force and acts in the directi,C,Gravitational law of attraction.,B,Newton's second law of motion.,42%,Newton's second law states that the force acting on an object is equal to the rate of change of its momentum.,yes
semantic,questions,ACC-2024-041,Accounting,Auditing,Which of the following is not a regulatory framework guiding the practice of auditing in Nigeria?,D,International Auditing and Assurance Standards Board,A,International Financial Reporting Standards,40%,"International Financial Reporting Standards (IFRS) are accounting standards for financial reporting, whereas the other options relate to auditing standards, leg",yes
semantic,questions,BIO-2025-034,Biology,Plant Physiology,Which of the following best describes the mechanism by which guard cells regulate stomatal aperture?,A,They swell and become turgid due to osmotic water uptake.,B,They actively transport potassium ions to change osmotic potential.,40%,"While all options relate to stomatal function, the active transport of potassium ions is the primary physiological mechanism that drives the osmotic changes nec",yes
semantic,questions,ACC-2022-017,Accounting,Accounting Principles and Concepts,The concept of stewardship means that a company’s directors are:,A,responsible for ensuring that the company complies with the law.,C,to safeguard the company’s assets and manage them on behalf of the shareholders.,37%,"Stewardship refers to the fiduciary duty of directors to act as custodians of the company's resources, safeguarding assets and managing them in the best interes",yes
semantic,questions,CHM-2019-036,Chemistry,Atomic Structure,Which of the following is not an assumption of Bohr’s model of the atom?,D,Transitions between orbits are accompanied by emission or absorption of energy,C,The electron does not emit energy when in its allowed orbit,37%,"Bohr's model assumes that electrons move in discrete, quantized orbits and only emit or absorb energy when transitioning between these orbits, resulting in line",
semantic,questions,PHY-2021-002,Physics,Fluid Mechanics,Which of the following is the best statement of Pascal’s Law?,B,The pressure of a given volume of gas is directly proportional to its temperature.,A,Pressure applied to an enclosed fluid is transmitted undiminished to every portion of the fluid and the walls of the containing vessel.,36%,Pascal's Law states that pressure applied to an enclosed fluid is transmitted equally in all directions.,yes
semantic,questions,ECN-2021-040,Economics,Price Theory,"Under normal circumstances, a producer will bear the entire burden of taxation on his output if the",D,demand for his product is more elastic than the supply.,B,demand for the product is purely elastic.,35%,"If demand is perfectly (purely) elastic, consumers will not pay any price increase, forcing the producer to absorb the entire tax burden.",yes
semantic,questions,ACC-2020-037,Accounting,Auditing,The advantages of audit include the following EXCEPT,D,a guarantee for the provision of funds from the Central Bank of Nigeria.,A,an audit report lends credibility to financial statements.,33%,An audit provides reasonable assurance on financial statements but does not guarantee funding from any financial institution or regulatory body.,
semantic,questions,ACC-2022-029,Accounting,Cost Accounting,What does OAR stand for in overheads accounting?,A,Overheads Apportionment Rate,D,Overheads Absorption Rate,33%,"In cost accounting, OAR stands for Overheads Absorption Rate, which is the rate used to charge overheads to products or services.",yes
semantic,questions,ACC-2025-002,Accounting,Financial Accounting,The components of financial statements under International Accounting Standard (IAS) 1 include the f,D,A statement of affairs and analysis,A,A statement of financial position,33%,"According to IAS 1, the complete set of financial statements includes a statement of financial position, a statement of profit or loss and other comprehensive i",yes
semantic,questions,ACC-2025-014,Accounting,Inventory Valuation,"Using the information below, calculate the closing inventory (stock) in units and value using the Fi",A,"175 units at N1,900",D,50 units at N500,33%,"Opening stock (200) - Sales (150) = 50 units remaining at N10 (N500). Add new purchases (125 units at N12 = N1,500). Total units = 175; Total value = N500 + N1,",
semantic,questions,AGR-2019-030,Agricultural Science,Forestry,A method of harvesting timber which involves removing some mature trees and leaving others to allow ,C,seed tree system,A,single tree selection system,33%,"The single tree selection system involves the removal of individual mature trees at intervals, creating gaps that allow for natural regeneration while maintaini",yes
semantic,questions,AGR-2021-021,Agricultural Science,Animal Reproduction,Which of the following can cause non-infectious infertility in farm animals?,C,Poor management and Nutrition,A,Bacteria and Brucellosis,33%,"Non-infectious infertility is caused by factors other than pathogens, such as nutritional deficiencies, hormonal imbalances, or poor management practices, where",
semantic,questions,BUS-2020-011,Business Studies,Partnership,All of the following are contained in the “Deed of Partnership” EXCEPT,A,qualification status of partners.,B,interest on capital.,33%,"A Deed of Partnership typically outlines financial and operational terms such as profit/loss sharing, interest on capital, and dissolution procedures. The profe",
